Date,Year,Type,Country,Area,Location,Activity,Injury,Species 
,1000,Unprovoked,USA,Puerto Rico,Archeological site,,FATAL,Tiger shark
,,Unprovoked,USA,Florida,Tampa Bay; Hillsborough County,Wade-fishing,No injury; shark rammed his back,
,,Unprovoked,USA,Florida,Palm Beach; Palm Beach County,Standing,Abrasions & bruises hip to ankle,
,,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island?,Free diving,Head bitten,
,,Unprovoked,AUSTRALIA,New South Wales,,Swimming,FATAL,Said to involve a grey nurse shark that leapt out of the water and  seized the boy but species identification is questionable
7/4/23,2023,Unprovoked,USA,New York,Quogue Village Beach; Suffolk County,Swimming,Laceration to right knee,
4/11/23,2023,Unprovoked,USA,Florida,Virginia Key; Monroe County,Windsurfing,Lacerations to leg,
11/3/22,2022,Provoked,USA,Florida,Cape San Blas; Gulf County,Fishing,Right knee & thigh bitten by hooked shark,
6/23/22,2022,Unprovoked,USA,Florida,Redington Beach; Pinellas County,,Leg bitten,
9/10/21,2021,,EGYPT,,Sidi Abdel Rahmen,Swimming,Laceration to arm caused by metal object,No shark invovlement
3/26/21,2021,Unprovoked,FRENCH POLYNESIA,Marquesas,Ua Pou,Swimming,,
1/9/21,2021,Unprovoked,ST KITTS / NEVIS,The Narrows,Booby Island,Swimming / Kayaking,Severe injury to left leg; resulting in amputation above the knee,
7/29/20,2020,Unprovoked,USA,Florida,Florida Keys,Diving,Lower leg bitten,Lemon shark; 8'
3/27/20,2020,Unprovoked,USA,California,Pleasure Point; Santa Cruz County,Stand-Up Paddleboarding,No injury; paddleboard bitten,
10/4/19,2019,Unprovoked,USA,Guam,Talofofo Bay,Surfing,Minor injury to left thigh,Juvenile shark
9/7/19,2019,Unprovoked,AUSTRALIA,Western Australia,Burns Beach; Perth,Spearfishing,No injury; shark bit swim fin,14' white shark
7/22/19,2019,Unprovoked,USA,Rhode Island,Moonstone Beach; South Kingstown; Washington County,Surfing,Foot bitten,Sandtiger shark
3/25/19,2019,Unprovoked,AUSTRALIA,Queensland,Line Reef,Swimming,Puncture marks to left hip and buttocks,Grey reef shark; 4'
1/10/19,2019,Invalid,AUSTRALIA,Queensland,Catseye Beach; Hamilton Island; Whitsundays,Wading,Injuries to foot & leg,Reported as shark attacks but injuries caused by toadfish
11/3/18,2018,Unprovoked,EGYPT,,Brothers' Island,Scuba diving,Calf muscle removed,Oceanic whitetip shark
8/18/18,2018,Unprovoked,ITALY,Chieti; Province,Torino di Sangro,Playing,Calf bitten,
5/13/18,2018,Unprovoked,USA,South Carolina,Hilton Head Island; Beaufort County,Swimming,Severe bite to right forearm,
4/23/18,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,5-inch cut to hand,Tiger shark
1/13/18,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,No injury; shark took his swimfin,White shark; 3.5 m
10/1/17,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,FATAL; but death was probably due to drowning,
8/10/17,2017,Unprovoked,USA,South Carolina,Sea Pines Resort; Hilton Head Island; Beaufort County,Swimming,Minor cuts to sole & toes of left foot,Possibly a juvenile blacktip shark
7/9/17,2017,Unprovoked,USA,Florida,Haulover Beach; Miami-Dade County,Swimming,Lower legs bitten,Bull shark; 4' to 5'
7/7/17,2017,Provoked,MEXICO,Tabasco,Sánchez Magallanes; Cárdenas,Fishing,Hand bitten by hooked shark PROVOKED INCIDENT,Tiger shark; 100 kg
6/21/17,2017,Unprovoked,USA,South Carolina,South Forest Beach; Hilton Head Island; Beaufort County,Swimming,Left foot bitten,
6/2/17,2017,Unprovoked,BAHAMAS,New Providence,Athol Island,Snorkeling,Right forearm severed,Tiger shark
4/20/17,2017,Invalid,USA,South Carolina,Georgetown County,Swimming,Laceration & puncture wounds to left foot,Shark involvement not confirmed
3/11/17,2017,Unprovoked,PHILIPPINES,Luzon Island,Villamar; Caoayan,Spearfishing,Right thigh injured,10' shark
7/16/16,2016,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Minor injury to leg,
6/15/16,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,5' shark
5/18/16,2016,Unprovoked,USA,Florida,Ponte Vedra; St. Johns County,Swimming,Ankle bitten,Blacktip shark; 4'
4/22/16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach; Plettenberg Bay,Surf-skiing,No injury; surf-ski bitten,White shark
10/13/15,2015,Watercraft,USA,California,Off Leffingwell Landing; San Luis Obispo County,Fishing,No injury; shark rammed kayak repeatedly,Hammerhead sp.
7/23/15,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,Left hand bitten,Bronze whaler shark; 1.5m
5/29/15,2015,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Wading,Minor lacerations to dorsum of right foot,
4/29/15,2015,Unprovoked,USA,Hawaii,Kanahena Cove,Snorkeling,FATAL,
1/27/15,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,4' shark
12/29/14,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,FATAL,White shark; 4 to 5 m
12/28/14,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,1.5 m shark
8/6/14,2014,Unprovoked,USA,South Carolina,Folly Beach; Charleston County,Boogie boarding,Lacerations to right leg & foot,4' tp 5' shark
4/4/14,2014,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Lacerations to foot,
3/2/14,2014,Unprovoked,USA,Florida,Santa Lucea Beach; South Hutchinson Island; St. Lucie County,Surfing,Lacerations to toes,Blacktip or spinner shark?
9/1/13,2013,Provoked,USA,Florida,Key West Aquarium,,Arm bitten by captive shark PROVOKED INCIDENT,Nurse shark
6/25/13,2013,Unprovoked,USA,Florida,Jacksonville; Duval County,Swimming,Lacerations to left foot,Possibly a Bull shark; 3'
3/31/13,2013,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,"Never happened, it was a  hoax",No shark involvement
9/2/12,2012,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Swimming or boogie boarding,Puncture wound to left ankle,3.5' to 4' shark
12/25/11,2011,Unprovoked,ECUADOR,Santa Elena,Barandúa Beach,Surfing,Lacerations to left thigh and calf,
12/21/11,2011,Provoked,USA,Hawaii,Makahuena Point; Kauai,Canoeing,No injury; after kayak collided with the shark; it bit the rudder  PROVOKED INCIDENT,7' to 8' shark
10/2/10,2010,Unprovoked,BAHAMAS,Exuma Islands,,Snorkeling,Calf bitten,Lemon shark
2/6/10,2010,Provoked,USA,Florida,Riviera Beach,Surf fishing / wading,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,Spinner shark; 6'
6/2/09,2009,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,Lacerations to left hand,Oceanic whitetip shark
3/19/09,2009,Unprovoked,AUSTRALIA,New South Wales,South Broulee,Surfing,No injury; shark damaged surfboard,
1/16/09,2009,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,Surfing,No injury; bumped off board by the shark,
1/11/09,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,Left thigh severely bitten,White shark; 3.5m
1/10/09,2009,Watercraft,NEW ZEALAND,North Island,Hawkes Bay,Fishing,No injury to occupants; shark hit boat & bit outboard motor,Mako shark; 3m
2/21/08,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,Lacerations to face,
1/1/08,2008,Provoked,JAPAN,Tokyo Bay,,Diving,No injury; captive shark attempted to bite diver's arm PROVOKED INCIDENTt,Goblin shark; 4.2'
1/27/08,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta,Accidentally stood on hooked shark's tail before attempting to gut it,Laceration to left knee PROVOKED INCIDENT,Mako shark; 90kg
12/7/07,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,20 cm injury to left foot,2.27 m shark
8/12/07,2007,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Swimming,Minor injury; small lacerations to right foot,
7/18/07,2007,Unprovoked,USA,North Carolina,North Topsail Beach; Onslow  County,Swimming,Right calf bitten,2' to 3' shark
4/20/07,2007,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,Lacerations to left index finger & thumb,3' to 4' shark
9/3/06,2006,Unprovoked,BRAZIL,,,,FATAL,
8/20/06,2006,Sea Disaster,ITALY,,Lampedusa Island,Sea Disaster,FATAL,
7/23/06,2006,Unprovoked,USA,Texas,Sargent Beach; Matagorda County,Surf fishing,Right foot bitten,Bull shark; 4' to 5'
4/11/06,2006,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Surfing,Minor laceration to left foot,Bronze whaler shark; a  juvenile
3/23/06,2006,Unprovoked,USA,Hawaii,Leftovers; near Waimea Bay; O'ahu,Surfing,5 puncture wounds in left calf,Tiger shark; 10'
11/20/05,2005,Unprovoked,USA,Florida,New Smyrna  Beach; Volusia County,Surfing,Lacerations to right thigh,
9/7/05,2005,Unprovoked,AUSTRALIA,New South Wales,Park Beach; Coff's Harbour,Standing,Left foot & ankle lacerated,
1/8/05,2005,Watercraft,NEW ZEALAND,North Island,Taupiri Bay,Fishing from a kayak,No injury; kayak bumped repeatedly,White shark
7/28/04,2004,Unprovoked,USA,North Carolina,Rodanthe; Dare County,Surfing,Right calf bitten,
7/25/04,2004,Unprovoked,USA,Texas,Bryan Beach; Brazoria County,Wading / fishing & carrying a bag of fish,Right forearm nearly severed and bites above & below the right knee,Bull shark
4/13/04,2004,Unprovoked,TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,Bitten on feet; legs; back & abdomen but survived.  Survivors rescued after  7.5 hours in the water,small sharks
2/26/04,2004,Unprovoked,NEW ZEALAND,South Island; near Karitane north of Dunedin,South Beach,Surfing,Thigh lacerated,2 m [6.75'] sevengill  shark
11/12/03,2003,Unprovoked,INDIA,Tamil Nadu,Mahabalipuram beach; 37 km south of Chennai,Swimming or surfing,Left index finger lacerated,Tiger shark?
11/12/03,2003,Unprovoked,USA,Florida,South Jetty; New Smyrna Beach; Volusia County,Surfing,Lacerations to hand,
8/12/03,2003,Invalid,USA,California,Venice Beach; Los Angeles County,Swimming,Left ankle lacerated,Shark involvement not confirmed
12/1/02,2002,Unprovoked,BRAZIL,Pernambuco,Boa Viagem Beach; Recife,Surfing,FATAL,
8/11/02,2002,Unprovoked,USA,Florida,Vero Beach; Indian River County,Surfing,Lacerations on heel & dorsum of right foot,Nurse shark; 1.5 m [5']
7/26/02,2002,Unprovoked,USA,South Carolina,Myrtle Beach; Horry County,Surfing,Heel bitten,1.2 m [4'] blacktip or sandbar shark
6/20/02,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,minor injury to foot,
9/18/01,2001,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Surfing,1 to 2 cuts on right ankle & foot,
4/11/01,2001,Unprovoked,USA,Florida,New Smyrna Beach / Waveland; Volusia County,Surfing,Lacerations to top & bottom of left foot,
4/11/01,2001,Unprovoked,USA,Hawaii,Ewa Beach; O'ahu,Surfing,Minor punctures & lacerations on left hand,1 m shark; possibly whitetip reef shark
11/6/00,2000,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach; Perth,Swimming,FATAL; torso bitten; leg severed,White shark; 5 m [16.5']
10/6/00,2000,Unprovoked,USA,Florida,New Smyrna Beach; Volusia County,Body surfing,Right foot & heel lacerated,
8/15/00,2000,Unprovoked,USA,Hawaii,Kanaha Beach; Maui,Windsurfing; but sitting on his board,Left calf lacerated,Tiger shark; 3.7 m to 4.5 m [12' to 14'9]
6/13/00,2000,Watercraft,USA,Florida,Pensacola Bay; Escambia County,Sailing,No injury to occupants; boat's rear platform bitten,Bull shark; 2.4 m [8']
1/29/99,1999,Unprovoked,MAURITIUS,,Belle-Mare,Spearfishing,Legs & torso injured,Bull shark
4/17/98,1998,Provoked,USA,Florida,Marathon; Monroe County,Scuba diving,He grabbed shark's tail; shark bit his chest & held on.  PROVOKED INCIDENT,Nurse shark; 0.9 m [3']
10/24/97,1997,Unprovoked,USA,Florida,North Jetty; Fort Pierce Inlet State Park; St. Lucie County,Surfing,5 gash in foot,Possibly a blacktip shark
7/12/97,1997,Unprovoked,OKINAWA,Miyako,Hirara,Fishing for octopus,FATAL; legs severed,White shark
2/21/97,1997,Unprovoked,USA,Hawaii,Sunset Beach; O'ahu,,No details,
,1995,Provoked,USA,South Carolina,Off 29th Avenue; Myrtle Beach; Horry County,Jumped off surfboard & landed on the shark,Foot bitten PROVOKED INCIDENT,
5/24/95,1995,Unprovoked,FIJI,Yasawa Islands,Waya Island,Sleeping in anchored boat,FATAL; hand & leg severely injured by shark that leapt into boat,3.7 m [12'] shark
10/9/94,1994,Provoked,USA,Florida,Bill Baggs Cape Florida State Recreation Area; Miami-Dade County,Wading,Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT,Thought to involve a small sand shark
5/31/94,1994,Unprovoked,USA,Florida,Daytona Beach; Volusia County,Surfing,Right foot lacerated,1.2 m [4'] spinner shark
4/16/94,1994,Invalid,USA,California,Sunset Cliffs; San Diego; San Diego County,,"Not a shark attack, possibly murder. Body recovered 4-16-1994 minus severed leg. Blue shark bites were post-mortem",Invalid
4/6/94,1994,Unprovoked,BAHAMAS,,Rum Cay,Wading,Lower right  leg bitten,2' to 3' shark
4/3/94,1994,Unprovoked,USA,Florida,Miami Beach; Dade County,Freediving for seashells,Left shoulder lacerated,
1/12/94,1994,Watercraft,AUSTRALIA,Western Australia,Albany,Fishing,No injury to occupants; shark bit anchor and ladder,White shark
8/15/93,1993,Unprovoked,USA,North Carolina,Pamlico Sound,Riding floatation device,Severe lacerations to abdomen & thighs,Bull shark
11/29/92,1992,Unprovoked,USA,California,San Onofre; San Diego County,Spearfishing / free diving,10 puncture wounds to right calf,Mako shark; 1.8 m [6']
10/29/92,1992,Unprovoked,USA,California,Castle Rock; San Miguel Island; Santa Barbara County,Hookah diving for sea urchins,Foot & swim fin punctured,2.5 m [8.25'] white shark
8/29/92,1992,Unprovoked,BAHAMAS,Abaco Islands,Double Breasted Cays,Snorkeling; carrying a speared fish in her hand,Left hand bitten,1.8 m [6'] blacktip shark
1/29/92,1992,Unprovoked,REUNION,La Saline-les-Bains,Revine-3-Bassins,Spearfishing,Survived,1.8 m grey shark
5/19/91,1991,Unprovoked,SOUTH AFRICA,Western Cape Province,Gordon’s Bay,Scuba diving,No injury; tank scratched by shark,3.5 m [11.5'] female white shark named Notchfin
5/13/90,1990,Provoked,SOUTH AFRICA,KwaZulu-Natal,Protea Reef,Fishing,No injury to occupants; hooked shark freed itself; then rammed stern of boat PROVOKED INCIDENT,6 m; 600-kg shark
10/22/89,1989,Unprovoked,AUSTRALIA,Tasmania,Shelly Point,Surfing,No injury; board bitten,2.7 m [9'] white shark
10/14/89,1989,Invalid,USA,Hawaii,Kahe Point; O'ahu,Scuba diving,Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning; then a large tiger shark appeared and consumed most of remains,Shark involvement suspected but not confirmed
3/9/89,1989,Unprovoked,AUSTRALIA,South Australia,Waitpinga Beach; near Victor Harbor; Encounter Bay,Surfing,Thigh bitten FATAL,2 m [6.75'] white shark
8/19/88,1988,Unprovoked,JAPAN,Tokyo Prefecture,Ogasawara Islands,,Survived,
2/13/88,1988,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Lying atop surfboard,Leg bitten; surgically amputated,Zambezi shark (tooth fragments recovered)
11/21/87,1987,Unprovoked,USA,Florida,North of Jupiter Inlet; Palm Beach County,Surfing,Leg lacerated,
11/1/87,1987,Invalid,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,,Possible drowning / scavenging,Shark involvement prior to death was not confirmed
12/31/86,1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Agulhas Banks,Spearfishing,2 punctures in lower leg,Raggedtooth shark; 2.5 m [8.25']
5/15/86,1986,Unprovoked,SOUTH KOREA,,,Shell diving,FATAL,
3/18/86,1986,Unprovoked,SPAIN,Cádiz,Tarifa,Windsurfing,Foot severed,3.5 m white shark
11/5/85,1985,Watercraft,USA,California,Southeast Farallon Island; Farallon Islands,Boat,2 semi-circular bites on aft starboard tube of boat,5.2 to 5.8 m white shark
10/21/84,1984,Invalid,USA,Florida,Wabasso Beach; Indian River County,Swimming,Disappeared; 1 mile from where Sandra Fletcher was bitten. Death was due to drowning,Shark involvement prior to death was not confirmed
6/15/84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg; False Bay,Surfing,No injury; board bitten,2.4 m [8'] white shark
9/4/83,1983,Unprovoked,USA,Florida,Off Lake Worth; Palm Beach County,Standing,Abrasions to leg,
10/19/81,1981,Unprovoked,USA,Florida,Jupiter Island; Brevard County,Swimming,Hand & forearm bitten,1.8 m to 2.4 m [6' to 8'] shark
6/15/81,1981,Watercraft,ENGLAND,,Isle of Wight,Fishing,Minor injuries from shark that leapt aboard their boat,13'; 400-lb thresher shark
9/14/79,1979,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Scuba diving,Leg bitten,a small shark
9/28/74,1974,Unprovoked,USA,California,North of Point Sur; Monterey County,Surfing,Thigh; lower back and surfboard bitten,White shark; 5.5 m to 6 m [18' to 20']
9/1/74,1974,Unprovoked,USA,Oregon,Myers Creek,Surfing,No injury,White shark; 4.5 m
3/5/73,1973,Unprovoked,MOZAMBIQUE,Gaza,Chongeone; Xai Xai,Spearfishing,FATAL,
7/19/71,1971,Unprovoked,USA,California,Point Purisima; Santa Barbara County,Hookah diving (submerged),Major injuries to head; buttocks & back,White shark; 5.5 m to 6 m [18' to 20']
4/5/71,1971,Unprovoked,VENEZUELA,,,,FATAL; body not recovered,
3/1/64,1964,Unprovoked,SENEGAL,Cap Vert Peninsula,Bel Air; Dakar,Free diving for shell,Thigh & hand bitten,3 m shark
2/8/54,1964,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Body boarding,Right ankle lacerated,White shark; 1.5 m [5'] k
1/27/64,1964,Unprovoked,FIJI,,70 miles from Suva,Spearfishing,FATAL,
11/14/63,1963,Provoked,AUSTRALIA,Queensland,Mermaid Beach,Catching sharks under government contract,No injury to occupant; netted shark rammed & bit boat PROVOKED INCIDENT,White shark; 15'2
2/24/63,1963,Unprovoked,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,Spearfishing,Left leg lacerated,Bronze whaler shark; 3 m [10']
10/1/62,1962,Unprovoked,PANAMA,Pinas Bay,,Sitting in shallows,FATAL; body not recovered,
7/20/62,1962,Provoked,MADAGASCAR,,Onboard tuna boat; M.V. Toscui Maru,Finning the shark,Right calf lacerated by boated shark PROVOKED INCIDENT,2 m [6'9] shark
5/29/62,1962,Unprovoked,USA,Florida,Jupiter; Palm Beach County,,Bitten on leg or ankle,
1/27/62,1962,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Splashing,Left hand injured: gash on back of hand; toothmarks on palm,1.5 m [5'] shark
1/11/62,1962,Watercraft,AUSTRALIA,South Australia,Marino,Fishing,No injury to occupant; shark bit propeller & lifted boat several feet,Said to involve a Grey nurse shark 3.7 m [12']
6/2/61,1961,Unprovoked,NEW BRITAIN,East New Britain Province,Rabaul,Spearfishing,Minor injuries to arm,
5/21/61,1961,Unprovoked,USA,California,Tomales Point; Marin County,Free diving for abalone,No injury; wetsuit bitten,White shark
4/21/61,1961,Unprovoked,MOZAMBIQUE,Gaza,Sepulveda Beach; Xai Xai,Swimming,Multiple injuries to both hands; left leg & foot,Zambesi shark
4/8/61,1961,Sea Disaster,PERSIAN GULF,United Arab Emirates,Dubai,Cargo ship Dara sank after collision with another ship during a severe storm,Some of the survivors said to have been bitten by sharks,
1/1/61,1961,Unprovoked,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,Free diving for molluscs,FATAL,> 3 m shark
10/25/60,1960,Sea Disaster,USA,California,Off Point Mugu; Ventura County,Ejected from F3H-2 aircraft,No injury; shark hit his foot & circled,
9/24/60,1960,Provoked,USA,South Carolina,Atlantic Beach; Horry County,Fishing inside net,Multiple superficial lacerations of leg; arm & hand PROVOKED INCIDENT,2.4 m [8']; 600-lb shark
1/16/60,1960,Unprovoked,AUSTRALIA,New South Wales,Just below Roseville Bridge; opposite Killarney picnic reserve; Middle Harbor; Sydney,Free diving,FATAL; right leg severed above knee; surgically amputated but died 9 days later,Bull shark
,1960,Unprovoked,SRI LANKA,Eastern  Province,Manayaweli Cove; Trincomalee,Collecting ornamental fish,No injury; beat off shark with his collecting net,Blacktip reef shark
10/4/59,1959,Unprovoked,USA,California,Bodega Rock; Sonoma County,Diving for abalone,Ankle twisted; swim fin bitten,White shark; 5 m [16.5']; identified by Dr. W. I. Follett on tooth marks
4/27/59,1959,Invalid,AUSTRALIA,New South Wales,Maroubra Bay,Spearfishing,Thigh lacerated,Questionable incident
9/1/58,1958,Provoked,USA,New York,Staten Island,Spearfishing,Bitten by harpooned shark PROVOKED INCIDENT,
9/20/55,1955,Unprovoked,USA,Hawaii,East Moloka'i,Hunting turtle,Arm bitten,
7/15/54,1954,Unprovoked,THE BALKANS,Slovenia,Between Punta Grossa & Koper,Swimming,FATAL,
4/8/54,1954,Invalid,USA,Hawaii,Wailupe; O'ahu,Fishing from shore,Body recovered; mutilated by shark/s,Shark involvement prior to death was not confirmed
12/19/50,1950,Unprovoked,AUSTRALIA,New South Wales,Jervis Bay,Swimming,Legs nipped,Wobbegong shark; 6'
11/25/50,1950,Unprovoked,AUSTRALIA,Queensland,Burleigh Heads; Brisbane,Body surfing,Part of buttocks & fingers severed,White shark; 3m; seen in area and hooked 3 days later
5/1/50,1950,Watercraft,ITALY,Tyrrhenian Sea,Sprizze; Isola d'Elba,Fishing on a boat,No injury,unknown; possibly a white shark
3/8/50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,North Beach; Durban,Lifesaving drill,FATAL,
1/5/49,1949,Invalid,AUSTRALIA,Western Australia,Leighton Beach; North Fremantle,,Human hand recovered from 2.4 m [8'] tiger shark,Shark involvement prior to death not confirmed
5/13/47,1947,Unprovoked,KENYA,Coast Province,Kilindini Harbor; Mombasa,Swimming,Knee grazed,
1/24/46,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Battery Beach; Durban,Swimming,Foot severely lacerated,
5/31/44,1944,Unprovoked,USA,Florida,Atlantic Beach; Mayport;  Duval County,Bathing,Left calf bitten,1.8 m [6'] blacktip shark or spinner shark
5/9/42,1942,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef; off Cairns,Diving from lugger,Hands; arms & knee lacerated,
12/28/40,1940,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach; Newcastle,Standing on sandbank,FATAL; injuries to lower back,
3/20/40,1940,Unprovoked,AUSTRALIA,New South Wales,Gerringong,Free diving for lobster,Minor injuries to foot,Wobbegong shark
6/17/38,1938,Unprovoked,NICARAGUA,Lower San Juan River,,The schooner Elizabeth; bound from Bluefields; Nicaragua to the river port of San Carlos foundered,FATAL x 2; all other passengers & crew reached shore after a long swim,Thought to involve bull sharks
8/2/37,1937,Unprovoked,PANAMA,Colon Province,Limon Bay,Swimming,FATAL,
5/15/37,1937,Unprovoked,AUSTRALIA,Queensland,Ross River; Townsville,Refused permission to cross on the ferry; he was swimming across the river,FATAL; left arm severed at elbow; right arm bitten; right leg severed at knee,2 days later a 600-lb shark was caught 100 yards from the site
9/4/36,1936,Unprovoked,USA,Hawaii,Lahaina; Maui,Swimming,Leg lacerated,
4/22/36,1936,Unprovoked,AUSTRALIA,Queensland,Arlington Reef near Cairns,Diving for trochus,Arm & back bitten; heel lacerated,Tiger shark; 4.6 m [15']
11/20/33,1933,Unprovoked,AUSTRALIA,Torres Strait,Near Boydong Cay,Free diving for trochus,FATAL; right buttock & thigh bitten,Tiger shark; 3.4 m [11']
5/24/33,1933,Sea Disaster,BARBADOS,St Michael Parish,Off Pelican Island,Yacht of Michael Howell capsized,5 survived  & 4 perished; but shark involvement not confirmed,
4/16/32,1932,Unprovoked,PHILIPPINES,Manila,Fort Mills,Standing,FATAL; torso bitten,
4/9/29,1929,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,,FATAL,
7/12/26,1926,Watercraft,USA,New Jersey,20 miles off Seabright,Fishing,No injury to occupants,whiptail shark (thresher shark?)
5/18/26,1926,Unprovoked,USA,Hawaii,Hale'iwa; O'ahu,Swimming,FATAL; gave sudden shriek & disappeared; body found in shark caught off Kahuka,White shark; 3.8 m [12.5']
4/7/26,1926,Unprovoked,USA,Hawaii,Hilo Bay Yacht Club; Hilo; Hawai'i,Swimming,Right leg bitten thigh to heel,According to Carlsmith; the shark's mouth was 3' wide
7/14/24,1924,Provoked,ENGLAND,Dorset,Weymouth,Fishing for mackerel,Arms broken by hooked shark PROVOKED INCIDENT,12' shark
3/24/24,1924,Watercraft,SPAIN,Galica,Sisargas Islands,Fishing,No injury to occupants; shark bit boat,3.5 m shark
10/20/23,1923,Invalid,AUSTRALIA,New South Wales,Botany Bay; Sydney,Sailing,"He failed to return; his body was recovered 11/9/1922, chest & abdomen had been bitten by shark/s",Shark involvement prior to death unconfirmed
5/29/19,1919,Unprovoked,USA,South Carolina,James Island Sound; Charleston,Swimming vigorously,Left foot bitten & abraded,
11/1/18,1918,Sea Disaster,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,FATAL; men snatched from rafts by sharks,Tiger sharks; 2.4 m to 4.9 m [8' to 16']
7/12/16,1916,Unprovoked,USA,New Jersey,In Matawan Creek; off NJ Clay Company brickyards at Cliffwood; Monmouth County; 9.5 miles from the sea; Monmouth County,Swimming,Lower left leg bitten; surgically amputated,Said to involve a 2.7 m [9'] shark
6/30/16,1916,Unprovoked,USA,New Jersey,Atlantic City; Atlantic County,Swimming,Heel bitten,
6/10/14,1914,Unprovoked,AUSTRALIA,Victoria,Sandringham,Bathing,FATAL,
5/21/13,1913,Provoked,USA,Florida,John's Pass; Pinellas County,Fishing,Forefinger of right hand bitten by a dead shark PROVOKED INCIDENT,
11/8/11,1911,Invalid,USA,Florida,Pensacola Bay; Escambia County,,Cause of death undetermined. 3.6 m [11'9] shark seen carrying body. Next day; shark was killed & Antoine's entire body was found in its gut.,Shark involvement prior to death unconfirmed
10/18/07,1907,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Bathing,FATAL,
1/1/07,1907,Unprovoked,VIETNAM,Khánh Hòa Province,Nha Trang,Fishing,Leg severely bitten; surgically amputated,
11/10/02,1902,Unprovoked,AUSTRALIA,New South Wales,Middle Harbour; Sydney,Swimming,FATAL,
8/24/02,1902,Watercraft,CROATIA,Istria County,Porec,Fishing,No injury to occupants; shark grabbed anchor rope & towed boat,
1/25/02,1902,Unprovoked,AUSTRALIA,New South Wales,Kerosene Bay,Dangling feet in the water,FATAL,
1/19/02,1902,Unprovoked,AUSTRALIA,Queensland,Brisbane,Swimming,Legs bitten,
1899-01-28,1899,Invalid,AUSTRALIA,New South Wales,Newcastle,Bathing,Drowning may mav preceded attack,Questionable
,1898,Unprovoked,USA,Florida,a creek near Jacksonville; Duval County,,Lacerations,
1895-06-03,1895,Unprovoked,AUSTRALIA,Western Australia,Barrow Passage,Pearl diving,FATAL,
